RUN,NOMBRES,APELLIDOS,CORREO,SEXO,FECHA DE NACIMIENTO,FACULTAD,CARRERA,PREFERENCIA,AÑO EGRESO,NES,PUNTAJE LENGUAJE,PUNTAJE MATEMÁTICA
19294572,JAVIER MARTIN,GALINDO LAWSON,javier.galindo.l@usachi.cy,MASCULINO,19-9-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.63,808,558
19557064,ALLEGRA ANNALISA,WILLIAMSON MÁRQUEZ,allegra.williamson.m@usachi.cy,FEMENINO,18-4-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.54,744,562
19742600,ISABELLA LETÍCIA,COSTELA MULLEN,isabella.costela.m@usachi.cy,FEMENINO,29-12-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,6.27,842,733
18804482,JUANA TERESA,PIRES MONTANELLI,juana.pires.m@usachi.cy,FEMENINO,27-11-1999,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,5.04,667,676
19951956,FRANCISCO ANTÔNIO,MOURA PINTO,francisco.moura.p@usachi.cy,MASCULINO,26-8-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.59,705,667
20156067,SERGIO ISADORA,MONTES JONES,sergio.montes.j@usachi.cy,FEMENINO,18-10-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.76,815,783
18557016,COURTNEY LUIZA,TEIXEIRA ROBINSON,courtney.teixeira.r@usachi.cy,FEMENINO,6-12-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,5.66,565,690
19250752,MARCOS RAYMOND,PERES SANDERS,marcos.peres.s@usachi.cy,MASCULINO,14-2-1991,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2017,4.72,773,750
18537646,DIEGO RAFFAELLO,MAYOL DONALDSON,diego.mayol.d@usachi.cy,MASCULINO,7-11-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.02,710,747
18793499,SOFÍA JOEL,OLIVERA DA LUZ,sofía.olivera.d@usachi.cy,MASCULINO,10-7-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.03,809,754
19042993,RYAN ANTHONY,IGLESIAS ROCAMORA,ryan.iglesias.r@usachi.cy,MASCULINO,8-12-1990,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2019,4.12,793,703
19185527,NANNI JOHN,MASPERO LIMA,nanni.maspero.l@usachi.cy,MASCULINO,28-5-1994,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,2,2018,4.75,774,741
18760023,EMANUEL GERÓNIMO,ROBERTSON WARD,emanuel.robertson.w@usachi.cy,MASCULINO,12-2-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2018,4.95,840,699
20181841,THOMAS DAVID,CARVALHO BLAIR,thomas.carvalho.b@usachi.cy,MASCULINO,6-10-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2019,5.66,801,825
19218416,CHRISTOPHER ALBERT,MELO MORA,christopher.melo.m@usachi.cy,MASCULINO,19-12-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.69,622,694
19105452,SHAWNA SUSANA,WILLIS ESPINOSA,shawna.willis.e@usachi.cy,FEMENINO,15-7-1998,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,5.64,689,721
19776735,SABRINA TRINIDAD,MITCHELL ZACCARDO,sabrina.mitchell.z@usachi.cy,FEMENINO,15-11-1997,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,3,2019,4.41,767,615
18600189,REBECCA PATRICIA,BAILEY DA CRUZ,rebecca.bailey.d@usachi.cy,FEMENINO,24-5-1993,FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,ADMINISTRACIÓN PÚBLICA,1,2017,4.26,667,658
